auc_value,bin,ks_value,"p0=0.5,accuracy"
0.811987514,3,0.486379812,0.827852349
0.847556524,4,0.543685841,0.854530201
0.844402834,5,0.547368026,0.848154362
0.882145934,6,0.615468702,0.86409396
0.875077013,7,0.58669608,0.862248322
0.872995296,8,0.58823996,0.86409396
0.895596098,9,0.630074573,0.875503356
0.88501061,10,0.603240527,0.866946309
0.881796983,11,0.598006529,0.86795302
0.899152505,12,0.63576285,0.877181208
0.891892406,13,0.61561484,0.869630872
0.888807113,14,0.611547831,0.872147651
0.901592517,15,0.638532598,0.877181208
0.89614839,16,0.624670639,0.876510067
0.895620777,17,0.621147108,0.87466443
0.9042022,18,0.644170635,0.879362416
0.902364104,19,0.63732859,0.879362416
0.902176364,20,0.634590573,0.876677852
0.905021648,21,0.657503042,0.881208054
0.906403261,22,0.644128327,0.883557047
0.911232074,23,0.667341005,0.88942953
0.910097257,24,0.659156041,0.886241611
0.9070823,25,0.65308294,0.883053691
0.912886572,26,0.665680073,0.88942953
0.910533732,27,0.664907781,0.885738255
0.911168701,28,0.659195705,0.887583893
0.914168056,29,0.67444624,0.88942953
0.912450009,30,0.665520714,0.888422819
0.908021885,31,0.659365641,0.888255034
0.916055246,32,0.669142787,0.891610738
0.913437278,33,0.673008129,0.88942953
0.910074164,34,0.663117281,0.886744966
0.915329316,35,0.67698259,0.892449664
0.913715627,36,0.669728573,0.891442953
0.913236845,37,0.671487341,0.891442953
0.919701558,38,0.678375044,0.893959732
0.91842642,39,0.679221375,0.893456376
0.918529897,40,0.673331431,0.89647651
0.917805906,41,0.677205411,0.894798658
0.916148147,42,0.671466893,0.893456376
0.921052761,43,0.691893253,0.900503356
0.917936531,44,0.681407981,0.897483221
0.918287156,45,0.673772489,0.895637584
0.921294709,46,0.691309406,0.90033557
0.922090095,47,0.684116911,0.899496644
0.922643974,48,0.691747115,0.895469799
0.920862641,49,0.685963645,0.896979866
0.920475349,50,0.679853524,0.897147651
0.923734632,51,0.688510571,0.9
0.922427499,52,0.679476632,0.90033557
0.921750751,53,0.683124442,0.897651007
0.919300603,54,0.68307949,0.89261745
0.918827109,55,0.671895964,0.897315436
0.926352777,56,0.702028075,0.901845638
0.920206518,57,0.675743501,0.895302013
0.926505261,58,0.691043572,0.903355705
0.922983317,59,0.682169697,0.899832215
0.920642641,60,0.682450691,0.89647651
0.925800837,61,0.68903554,0.899328859
0.922326401,62,0.685896834,0.896308725
0.926965623,63,0.693766428,0.903187919
0.92692922,64,0.69101519,0.902181208
0.926570398,65,0.685552378,0.899832215
0.926828387,66,0.690916649,0.904026846
0.925138368,67,0.691901185,0.902013423
0.926336471,68,0.688908617,0.901174497
0.928780713,69,0.696085246,0.900838926
0.926010349,70,0.690853187,0.900671141
0.927116608,71,0.69607132,0.901174497
0.927025118,72,0.691632707,0.901342282
0.926947377,73,0.691882676,0.901845638
0.928428854,74,0.689146598,0.901845638
0.927724959,75,0.6925425,0.903691275
0.930863489,76,0.698103855,0.898322148
0.927396368,77,0.686928967,0.9
0.931405204,78,0.708015856,0.903020134
0.930410267,79,0.703951491,0.903355705
0.928973743,80,0.698517765,0.900671141
0.931006718,81,0.699478504,0.90385906
0.925659988,82,0.695564861,0.89966443
0.928984672,83,0.696912362,0.900503356
0.93025461,84,0.71197974,0.902684564
0.931640453,85,0.700826006,0.902181208
0.928760088,86,0.70498098,0.901677852
0.93052062,87,0.710027237,0.904865772
0.929148438,88,0.700141678,0.900838926
0.931422921,89,0.704824265,0.902684564
0.931731679,90,0.709446035,0.902348993
0.931622737,91,0.706904396,0.900503356
0.932952963,92,0.706920262,0.900503356
0.930880588,93,0.705933786,0.904194631
0.932807706,94,0.709178262,0.904362416
0.932523187,95,0.703285673,0.90704698
0.931521903,96,0.704646396,0.904362416
0.932476119,97,0.704161091,0.903020134
0.931878346,98,0.707546416,0.907214765
0.929472005,99,0.700998586,0.904530201
0.932034885,100,0.712197273,0.901845638
